,Address,Cars,Bluecar counter,Utilib counter,Utilib 1.4 counter,Charge Slots,Charging Status,City,ID,Kind,Postal code,Rental status,Slots,Station type,Status,Subscription status,Date,Time
1416,231 rue des Pyr̩n̩es,1,1,0,0,0,nonexistent,Paris,paris-pyrenees-231,STATION,75020,operational,2,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 09:49:00
1417,14 rue Bertin Poir̩e,0,0,0,0,1,operational,Paris,paris-bertinpoiree-14,STATION,75001,operational,3,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 16:05:00
1418,2 rue des Eaux,6,6,0,0,0,operational,Paris,paris-eaux-2,STATION,75016,operational,0,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 06:11:00
1419,16 Rue Molitor,1,1,0,0,1,operational,Paris,paris-molitor-16,STATION,75016,operational,4,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 23:45:00
1420,16 Avenue du Mar̩chal Lyautey,5,5,0,0,0,nonexistent,Cr̩teil,creteil-marechallyautey-16,STATION,94000,operational,1,station,ok,nonexistent,2018-04-07 00:00:00,2020-05-29 16:02:00
1421,24 rue du Ch̢teau Landon,1,1,0,0,0,operational,Paris,paris-chateaulandon-24,STATION,75010,operational,3,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 05:13:00
1422,199 Rue du Faubourg Saint-Antoine,4,4,0,0,0,nonexistent,Paris,paris-faubourgsaintantoine-199,SPACE,75011,operational,0,full_station,ok,operational,2018-04-03 00:00:00,2020-05-29 09:41:00
1423,8 rue des Chantiers,2,2,0,0,0,nonexistent,Versailles,versailles-chantiers-8,SPACE,78000,operational,4,full_station,ok,operational,2018-04-02 00:00:00,2020-05-29 05:50:00
1424,8 rue Adolphe Mille,2,2,0,0,0,operational,Paris,paris-adolphemille-8,STATION,75019,operational,1,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 12:25:00
1425,8 Rue Denfert Rochereau,6,6,0,0,0,nonexistent,Asni̬res-sur-Seine,asnieressurseine-denfertrochereau-8,STATION,92600,operational,0,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 18:46:00
1426,2 avenue des murs du parc,0,0,0,0,0,nonexistent,Vincennes,vincennes-mursduparc-2,STATION,94300,operational,6,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 19:01:00
1427,3 rue de B̩rite,0,0,0,0,0,nonexistent,Paris,paris-berite-3,STATION,75006,operational,2,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 17:32:00
1428,19 place de la Madeleine,6,6,0,0,0,nonexistent,Paris,paris-madeleinetronchet-parking,PARKING,75008,operational,0,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 20:08:00
1429,10 rue Jean Nicot,2,2,0,0,0,nonexistent,Paris,paris-jeannicot-10,STATION,75007,operational,2,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 15:40:00
1430,84 Rue Cartier Bresson,4,4,0,0,0,nonexistent,Pantin,pantin-cartierbresson-84,STATION,93500,operational,0,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 21:04:00
1431,22 boulevard F̩lix Faure,4,4,0,0,0,nonexistent,Aulnay-sous-bois,aulnaysousbois-felixfaure-22,SPACE,93600,operational,2,full_station,ok,operational,2018-04-05 00:00:00,2020-05-29 14:16:00
1432,19 rue Br̩montier,3,3,0,0,1,operational,Paris,paris-bremontier-19,STATION,75017,operational,3,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 08:02:00
1433,7 rue Arthur Chevalier,6,6,0,0,0,nonexistent,Aulnay-sous-bois,aulnaysousbois-arthurchevalier-7,STATION,93600,operational,0,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 16:52:00
1434,169 avenue de Flandre,3,3,0,0,1,operational,Paris,paris-flandre-169,SPACE,75019,operational,2,full_station,ok,broken,2018-04-08 00:00:00,2020-05-29 04:37:00
1435,15 rue de Rocroy,0,0,0,0,0,operational,Paris,paris-rocroy-15,STATION,75010,operational,3,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 16:39:00
1436,65 Avenue Lenine,4,4,0,0,0,nonexistent,Nanterre,nanterre-lenine-65,STATION,92000,operational,2,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 22:17:00
1437,2 rue Ponceau,4,4,0,0,0,nonexistent,Meudon,meudon-ponceau-2,STATION,92190,operational,0,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 02:25:00
1438,1 avenue Georges Mandel,0,0,0,0,2,operational,Paris,paris-georgesmandel-1,STATION,75016,operational,5,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 23:58:00
1439,131 rue du Chevaleret,2,2,0,0,2,operational,Paris,paris-chevaleret-131,STATION,75013,operational,4,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 23:50:00
1440,35 quai Alphonse Le Gallo,5,5,0,1,0,nonexistent,Boulogne-Billancourt,boulognebillancourt-alphonselegallo-35,STATION,92100,operational,0,station,ok,nonexistent,2018-04-07 00:00:00,2020-05-29 06:06:00
1441,98 avenue Albert 1er,0,0,0,0,0,nonexistent,Rueil-Malmaison,rueilmalmaison-albert1er-98,STATION,92500,operational,6,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 23:21:00
1442,2 Avenue Mozart,3,3,0,0,0,nonexistent,Paris,paris-mozart-2,STATION,75016,operational,0,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 13:05:00
1443,123 Grande Rue,3,3,0,0,0,nonexistent,S̬vres,sevres-granderue-123,STATION,92310,operational,1,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 02:33:00
1444,1 Rue Georges Corete,0,0,0,0,0,nonexistent,Gennevilliers,gennevilliers-georgescorete-1,SPACE,92230,broken,0,full_station,closed,broken,2018-04-03 00:00:00,2020-05-29 05:23:00
1445,1 place Stalingrad,6,6,0,0,0,nonexistent,Neuilly-Plaisance,neuillyplaisance-stalingrad-1,STATION,93360,operational,0,station,ok,nonexistent,2018-04-02 00:00:00,2020-05-29 16:20:00
1446,5 rue Jacques Callot,0,0,0,0,0,nonexistent,Paris,paris-jacquescallot-5,STATION,75006,operational,2,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 22:40:00
1447,21 avenue de la Fontaine du Tertre,6,6,0,0,0,nonexistent,Suresnes,suresnes-fontainedutertre-21,STATION,92150,operational,0,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 01:08:00
1448,1 rue Croulebarbe,4,4,0,0,0,operational,Paris,paris-croulebarbe-1,STATION,75013,operational,2,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 07:25:00
1449,9 rue Lobineau,1,1,0,1,1,operational,Paris,paris-lobineau-9,STATION,75006,operational,2,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 18:36:00
1450,33 rue de Lourmel,1,1,0,0,0,nonexistent,Paris,paris-lourmel-33,STATION,75015,operational,2,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 18:19:00
1451,8 rue de Lyon,0,0,0,1,0,nonexistent,Paris,paris-lyon-8,STATION,75012,operational,2,station,ok,nonexistent,2018-04-07 00:00:00,2020-05-29 15:13:00
1452,22 Boulevard de Belleville,1,1,0,1,0,nonexistent,Paris,paris-belleville-22,STATION,75020,operational,1,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 10:59:00
1453,90 boulevard National,0,0,0,0,0,nonexistent,La Garenne-Colombes,lagarennecolombes-national-90,STATION,92250,operational,6,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 10:52:00
1454,109 avenue F̩lix Faure,4,4,0,0,0,operational,Paris,paris-felixfaure-109,SPACE,75015,operational,1,full_station,ok,broken,2018-04-02 00:00:00,2020-05-29 13:36:00
1455,21 Quai de la Tournelle,1,1,0,0,0,nonexistent,Paris,paris-tournelle-21,STATION,75005,operational,3,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 06:34:00
1456,44 rue S̩bastien Mercier,5,5,0,0,0,nonexistent,Paris,paris-sebastienmercier-44,STATION,75015,operational,1,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 21:32:00
1457,12 Avenue de la Division Leclerc,0,0,0,0,0,nonexistent,Ch̢tillon,chatillon-divisionleclerc-12,SPACE,92320,operational,5,full_station,ok,operational,2018-04-03 00:00:00,2020-05-29 19:48:00
1458,93 avenue Victor Hugo,1,1,0,0,1,operational,Paris,paris-victorhugo-93,STATION,75016,operational,4,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 01:00:00
1459,15 bis rue de Tolbiac,0,0,0,0,0,nonexistent,Paris,paris-tolbiac-15,STATION,75013,operational,4,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 06:38:00
1460,2 rue Paul C̩zanne,2,2,0,0,0,nonexistent,Neuilly-Plaisance,neuillyplaisance-paulcezanne-2,SPACE,93360,operational,2,full_station,ok,operational,2018-04-03 00:00:00,2020-05-29 12:56:00
1461,6 avenue du Mahatma Gandhi,3,3,0,1,0,nonexistent,Paris,paris-mahatmagandhi-6,STATION,75016,operational,0,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 16:07:00
1462,49 Rue Paul Vaillant Couturier,2,2,0,1,0,nonexistent,Malakoff,malakoff-paulvaillantcouturier-49,STATION,92240,operational,1,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 06:21:00
1463,6 avenue du Mahatma Gandhi,3,3,0,0,0,nonexistent,Paris,paris-mahatmagandhi-6,STATION,75016,operational,2,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 06:57:00
1464,35 rue de Boucry,0,0,0,0,0,broken,Paris,paris-boucry-35,STATION,75018,broken,0,station,closed,nonexistent,2018-04-05 00:00:00,2020-05-29 03:00:00
1465,5 rue de Bellechasse,0,0,0,0,0,nonexistent,Paris,paris-bellechasse-5,STATION,75007,operational,3,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 01:30:00
1466,18 Boulevard Garibaldi,6,6,0,0,0,nonexistent,Issy-les-Moulineaux,issylesmoulineaux-garibaldi-18,STATION,92130,operational,0,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 06:53:00
1467,26 villa Croix-Nivert,2,2,0,0,0,nonexistent,Paris,paris-cambronne-parking,PARKING,75015,operational,4,station,ok,nonexistent,2018-04-01 00:00:00,2020-05-29 05:51:00
1468,249 avenue Gambetta,0,0,0,0,0,broken,Paris,paris-gambetta-249,STATION,75020,broken,0,station,closed,nonexistent,2018-04-09 00:00:00,2020-05-29 16:42:00
1469,45 rue Jeanne D'Arc,4,4,0,0,0,nonexistent,Paris,paris-jeannedarc-45,STATION,75013,operational,0,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 00:43:00
1470,92 Boulevard des Batignolles,2,2,0,0,0,broken,Paris,paris-batignolles-92,STATION,75017,operational,1,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 23:40:00
1471,101 Avenue Mozart,4,4,0,0,0,nonexistent,Paris,paris-mozart-101,STATION,75016,operational,0,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 07:58:00
1472,37 quai de Grenelle,6,6,0,0,0,operational,Paris,paris-grenelle-37,STATION,75015,operational,0,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 15:35:00
1473,4 rue de Colombes,0,0,0,0,0,nonexistent,Asni̬res-sur-Seine,asnieressurseine-colombes-4,STATION,92600,operational,4,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 11:05:00
1474,123 boulevard Victor Hugo,4,4,0,0,0,nonexistent,Clichy-la-Garenne,clichylagarenne-victorhugo-123,STATION,92210,operational,0,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 08:19:00
1475,143 avenue Roger Salengro,0,0,0,0,0,nonexistent,Ch̢tenay-Malabry,chatenaymalabry-rogersalengro-143,STATION,92290,broken,0,station,closed,nonexistent,2018-04-09 00:00:00,2020-05-29 00:43:00
1476,96 Avenue Simon Bolivar,2,2,0,1,1,operational,Paris,paris-simonbolivar-96,STATION,75019,operational,2,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 10:15:00
1477,23 rue des Bernardins,1,1,0,0,1,operational,Paris,paris-bernardins-23,STATION,75005,operational,4,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 07:51:00
1478,11 avenue Pasteur,5,5,0,0,0,nonexistent,Saint-Mand̩,saintmande-pasteur-11,STATION,94160,operational,2,station,ok,nonexistent,2018-04-07 00:00:00,2020-05-29 11:11:00
1479,142 rue du Bac,0,0,0,0,0,operational,Paris,paris-bac-142,STATION,75007,operational,5,station,ok,nonexistent,2018-04-08 00:00:00,2020-05-29 03:51:00
1480,101 Avenue Mozart,0,0,0,0,0,nonexistent,Paris,paris-mozart-101,STATION,75016,operational,1,station,ok,nonexistent,2018-04-09 00:00:00,2020-05-29 18:37:00
1481,50 Boulevard Henri Sellier,4,4,0,0,0,nonexistent,Suresnes,suresnes-henrisellier-50,STATION,92150,operational,2,station,ok,nonexistent,2018-04-03 00:00:00,2020-05-29 22:33:00
1482,171 Rue de la Convention,0,0,0,0,0,nonexistent,Paris,paris-convention-171,STATION,75015,operational,2,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 17:50:00
1483,131 rue du Chevaleret,3,3,0,0,1,operational,Paris,paris-chevaleret-131,STATION,75013,operational,3,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 04:01:00
1484,5 rue Fr̩d̩rick Lemątre,6,6,0,0,0,operational,Paris,paris-fredericklemaitre-5,STATION,75020,operational,0,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 02:29:00
1485,92 rue Pierre Brossolette,5,5,1,0,0,nonexistent,Yerres,yerres-pierrebrossolette-92,STATION,91330,operational,0,station,ok,nonexistent,2018-04-07 00:00:00,2020-05-29 19:59:00
1486,4 rue Valiton,0,0,0,0,0,nonexistent,Clichy-la-Garenne,clichylagarenne-valiton-4,STATION,92110,operational,6,station,ok,nonexistent,2018-04-05 00:00:00,2020-05-29 15:19:00
1487,53 rue du Bois l'Abb̩,1,1,0,0,0,nonexistent,Champigny-sur-Marne,champignysurmarne-boislabbe-53,STATION,94500,operational,3,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 00:03:00
1488,17 Place de la R̩publique,0,0,0,0,0,nonexistent,Paris,paris-republique-17,STATION,75003,operational,4,station,ok,nonexistent,2018-04-04 00:00:00,2020-05-29 02:00:00
1489,86 rue Pelleport,3,3,0,0,0,nonexistent,Paris,paris-pelleport-86,STATION,75020,operational,1,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 16:18:00
1490,14 rue Velpeau,3,3,0,0,0,nonexistent,Antony,antony-velpeau-14,STATION,92160,operational,0,station,ok,nonexistent,2018-04-06 00:00:00,2020-05-29 19:51:00
